utme_score,olevel_credits,attendance_rate,study_hours,prev_gpa,family_income_level,hostel_residence,extracurricular_hours,internet_access,gender,department_load,performance_class
217.0,6.0,70.2,5.3,2.44,0,0,5.1,1,0,20.0,0
188.0,7.0,70.9,2.7,2.46,0,1,5.7,1,1,15.0,0
247.0,5.0,89.1,3.9,2.28,0,1,2.6,1,1,18.0,1
214.0,4.0,60.6,4.0,3.57,2,1,0.4,1,0,20.0,1
230.0,9.0,64.4,5.6,3.53,1,1,4.3,1,1,21.0,2
247.0,6.0,80.3,0.5,4.19,1,0,1.5,0,1,25.0,1
246.0,7.0,92.5,2.5,2.69,0,1,6.8,1,1,20.0,1
253.0,5.0,96.6,4.6,3.23,2,0,3.0,1,1,19.0,2
227.0,5.0,68.0,5.7,2.33,0,0,8.3,1,1,20.0,1
215.0,7.0,92.1,3.6,2.9,1,1,0.0,1,1,20.0,1
227.0,6.0,66.2,2.7,2.79,1,1,4.3,1,1,22.0,1
171.0,8.0,100.0,4.4,3.38,0,1,7.6,1,0,22.0,1
179.0,8.0,61.0,4.6,3.71,1,0,1.8,1,1,27.0,1
184.0,8.0,97.9,2.6,3.69,0,0,3.6,1,1,20.0,1
195.0,8.0,68.2,3.7,2.59,1,0,3.0,1,1,23.0,0
244.0,9.0,100.0,5.1,3.7,2,0,2.3,0,0,22.0,2
198.0,6.0,86.9,6.2,3.07,1,1,4.6,1,1,27.0,1
217.0,7.0,62.8,4.4,2.91,2,1,0.8,1,0,23.0,0
275.0,9.0,70.2,3.3,2.67,1,0,3.7,0,1,28.0,1
218.0,9.0,89.7,3.1,2.76,0,0,5.3,1,0,19.0,1
256.0,5.0,93.8,4.1,4.15,1,0,3.5,0,1,24.0,2
197.0,7.0,76.9,3.0,3.28,1,1,1.5,0,0,22.0,0
223.0,9.0,78.7,3.5,3.2,0,1,6.6,1,0,19.0,2
197.0,8.0,89.4,1.5,2.94,1,0,5.8,0,0,24.0,0
218.0,7.0,80.0,5.3,4.57,1,0,1.4,1,0,31.0,2
259.0,7.0,58.6,1.4,3.88,1,0,0.8,1,0,21.0,1
170.0,7.0,65.8,2.5,2.67,0,0,1.6,1,1,23.0,0
245.0,8.0,81.5,3.4,2.94,2,1,5.4,0,1,19.0,1
238.0,7.0,96.2,6.4,2.97,1,1,4.7,1,1,18.0,2
209.0,7.0,100.0,2.5,3.19,0,0,6.0,0,1,21.0,1
179.0,7.0,89.7,2.1,2.68,0,1,3.2,1,0,22.0,1
233.0,6.0,82.3,2.3,3.36,2,0,1.7,1,1,22.0,1
211.0,8.0,89.2,5.9,3.97,1,0,6.3,1,1,23.0,2
238.0,9.0,68.0,0.0,2.31,1,1,2.6,1,0,17.0,0
231.0,5.0,75.7,1.6,2.42,0,0,4.5,1,1,21.0,0
286.0,8.0,65.6,7.6,2.81,1,0,0.1,0,1,26.0,2
222.0,6.0,59.3,4.1,2.84,1,1,2.6,1,1,19.0,1
194.0,8.0,83.0,1.4,4.3,0,1,6.5,1,1,23.0,2
236.0,7.0,80.8,3.1,3.7,2,0,2.2,1,0,25.0,2
238.0,8.0,88.3,3.3,3.67,0,1,6.0,0,1,21.0,2
278.0,9.0,86.2,4.6,2.94,0,0,0.0,0,0,25.0,2
259.0,7.0,81.6,6.1,2.93,1,1,2.6,1,1,18.0,2
242.0,9.0,86.3,3.8,2.23,1,0,3.6,0,0,28.0,1
281.0,4.0,77.4,2.3,3.57,0,1,8.4,1,0,25.0,1
188.0,9.0,84.2,4.5,3.39,1,0,1.1,1,0,24.0,1
208.0,8.0,67.1,2.1,3.87,0,1,5.7,1,0,28.0,1
198.0,9.0,83.5,1.5,2.97,1,1,6.6,1,0,23.0,0
216.0,5.0,88.0,0.4,3.01,1,0,2.2,0,0,22.0,0
182.0,6.0,68.0,0.7,3.2,2,1,3.1,1,1,29.0,0
252.0,7.0,78.8,1.8,3.64,1,0,4.4,1,1,31.0,2
222.0,7.0,68.6,1.3,2.22,1,1,0.3,0,0,21.0,0
179.0,8.0,70.1,3.7,3.54,1,0,2.9,1,1,24.0,0
194.0,9.0,61.1,1.3,3.09,0,0,7.2,1,1,28.0,1
241.0,5.0,97.0,0.0,2.46,0,1,5.3,0,0,24.0,0
259.0,9.0,94.0,1.5,1.85,2,0,3.6,1,1,26.0,1
300.0,7.0,86.1,2.4,3.02,0,0,4.3,0,0,27.0,1
332.0,7.0,100.0,2.2,3.97,1,0,5.5,1,0,22.0,2
245.0,5.0,75.2,5.6,4.1,0,0,5.9,1,0,26.0,2
195.0,8.0,100.0,2.2,3.31,2,0,2.6,1,0,24.0,1
155.0,4.0,74.6,4.6,4.28,0,1,7.8,1,1,19.0,1
239.0,8.0,81.8,3.2,3.07,2,1,7.3,0,1,20.0,1
202.0,5.0,72.0,3.1,3.67,1,0,5.7,1,0,21.0,0
215.0,7.0,83.6,1.9,2.83,0,0,1.9,0,1,28.0,0
209.0,7.0,90.5,3.1,2.79,1,1,1.4,1,0,28.0,1
225.0,9.0,76.3,2.0,2.69,1,1,3.2,0,0,27.0,1
267.0,7.0,100.0,3.5,1.86,0,1,4.2,0,1,26.0,1
235.0,6.0,81.6,2.8,3.87,0,0,0.0,0,1,26.0,2
224.0,6.0,82.1,1.7,2.72,1,0,5.2,0,1,25.0,0
194.0,9.0,64.4,4.8,2.62,1,1,7.2,0,0,26.0,0
171.0,8.0,84.3,3.9,2.39,0,0,5.4,0,0,26.0,1
213.0,7.0,76.0,2.5,2.98,2,0,2.3,1,0,18.0,1
228.0,7.0,68.9,3.4,4.16,0,0,2.0,1,1,21.0,1
292.0,5.0,66.4,3.1,4.36,0,1,4.7,0,0,20.0,2
235.0,8.0,100.0,1.8,2.1,1,0,3.6,1,1,28.0,0
264.0,5.0,74.0,3.3,2.89,0,1,5.1,1,0,31.0,1
213.0,8.0,56.1,2.2,2.48,0,1,5.5,1,0,15.0,0
189.0,7.0,67.5,1.7,3.69,1,0,6.7,1,0,30.0,0
196.0,9.0,77.2,0.6,3.27,0,1,1.2,1,1,24.0,0
205.0,6.0,86.2,2.6,2.72,0,1,4.6,1,1,28.0,0
304.0,7.0,86.3,4.1,3.14,1,0,3.1,0,1,26.0,2
201.0,9.0,88.1,2.1,2.81,1,1,3.8,1,1,30.0,0
259.0,9.0,68.3,7.2,4.07,2,0,6.2,1,1,25.0,2
198.0,6.0,83.1,4.6,3.43,1,0,6.4,1,0,19.0,2
263.0,8.0,64.9,5.3,3.5,1,1,7.5,1,1,24.0,2
243.0,7.0,68.7,4.5,1.5,0,1,5.1,1,1,26.0,0
225.0,8.0,64.2,6.2,3.06,1,0,3.7,1,1,23.0,1
229.0,6.0,60.2,1.9,4.35,0,1,3.4,0,0,27.0,1
207.0,7.0,94.0,0.0,3.9,0,1,0.0,0,0,24.0,1
246.0,5.0,88.3,2.5,1.99,2,1,7.3,1,1,22.0,0
214.0,7.0,92.6,4.1,2.91,1,0,3.2,0,0,20.0,2
187.0,8.0,78.6,3.4,2.38,1,0,5.3,1,0,22.0,0
185.0,7.0,89.7,3.6,4.13,0,0,5.7,0,0,25.0,1
236.0,5.0,51.6,5.3,3.25,0,1,0.9,1,1,16.0,1
285.0,9.0,90.9,3.8,2.64,1,0,1.7,1,0,21.0,2
236.0,8.0,80.7,4.5,3.12,1,1,7.9,1,1,16.0,2
226.0,6.0,87.4,1.7,1.54,1,0,4.7,1,1,22.0,0
240.0,7.0,83.7,1.4,2.45,0,1,2.5,1,1,29.0,1
276.0,5.0,63.2,5.8,3.12,0,1,3.7,1,0,19.0,1
238.0,6.0,55.5,3.4,3.61,1,1,6.7,1,1,27.0,0
216.0,6.0,67.3,2.2,1.94,1,1,6.3,1,0,35.0,0
269.0,9.0,86.5,2.2,2.87,0,1,0.3,0,0,30.0,1
245.0,6.0,88.4,2.2,3.71,0,0,8.1,1,0,25.0,1
284.0,8.0,57.5,2.1,2.23,0,1,6.4,1,0,27.0,0
236.0,6.0,63.3,1.1,3.24,0,1,3.6,1,1,19.0,1
187.0,8.0,67.2,0.8,3.14,1,1,1.0,1,0,18.0,0
182.0,7.0,72.6,2.9,4.13,0,0,6.6,1,1,24.0,1
288.0,8.0,57.6,2.3,2.96,1,1,5.2,1,0,26.0,1
290.0,6.0,56.7,5.0,3.0,1,0,0.4,1,1,28.0,1
224.0,5.0,65.7,3.7,3.61,2,0,3.4,1,1,22.0,2
217.0,5.0,79.3,3.6,2.3,2,0,11.8,1,0,25.0,0
281.0,6.0,60.3,2.0,2.97,0,0,4.0,0,1,25.0,1
191.0,5.0,76.3,3.0,2.83,0,0,2.1,1,0,23.0,0
199.0,8.0,93.9,3.8,3.02,0,0,1.5,0,1,24.0,1
253.0,7.0,58.5,4.3,3.61,1,1,8.4,0,1,21.0,2
216.0,9.0,74.9,3.0,3.43,0,0,6.1,0,1,25.0,1
230.0,5.0,93.4,4.9,2.65,1,0,7.5,1,0,25.0,2
224.0,7.0,71.7,3.2,3.18,0,1,4.6,0,1,22.0,1
242.0,6.0,69.4,4.5,3.99,0,1,7.1,0,1,27.0,2
279.0,7.0,95.5,2.4,2.6,1,0,1.9,0,1,28.0,1
233.0,7.0,73.4,0.3,3.19,1,0,4.4,1,0,27.0,1
253.0,4.0,94.6,3.6,2.98,1,1,4.7,1,0,20.0,1
158.0,8.0,84.4,4.4,3.06,2,1,7.5,1,1,24.0,1
228.0,9.0,72.9,4.1,2.12,0,1,4.8,1,1,20.0,2
200.0,7.0,85.2,3.9,3.95,0,0,2.4,0,1,24.0,0
187.0,8.0,82.8,2.6,2.64,1,1,4.2,1,1,20.0,0
199.0,9.0,93.3,1.9,3.72,1,1,0.0,0,1,29.0,1
218.0,7.0,69.8,4.1,2.73,1,1,0.0,1,0,27.0,0
262.0,6.0,78.6,3.9,2.72,0,1,6.1,1,1,29.0,1
184.0,4.0,77.1,2.3,3.83,2,1,3.1,1,0,28.0,0
231.0,8.0,88.6,5.0,3.7,0,1,3.3,0,1,23.0,2
213.0,7.0,62.6,1.8,3.23,1,1,6.1,0,0,22.0,0
219.0,6.0,93.3,2.3,3.56,1,1,7.5,1,1,31.0,1
265.0,7.0,85.0,5.8,2.93,2,0,5.3,1,1,23.0,2
249.0,6.0,58.2,4.6,3.09,1,0,8.8,1,1,19.0,1
277.0,6.0,96.1,2.6,2.7,2,1,5.3,1,0,28.0,2
225.0,8.0,100.0,3.7,3.64,0,1,4.8,1,1,25.0,2
206.0,5.0,93.0,3.4,2.68,1,0,4.6,0,0,30.0,1
222.0,9.0,99.4,0.0,3.99,2,0,0.8,1,0,25.0,2
238.0,5.0,79.3,1.7,2.91,1,1,6.4,0,1,24.0,1
236.0,6.0,53.1,3.1,3.11,1,1,0.0,1,1,30.0,0
192.0,9.0,50.3,2.6,3.56,2,0,2.5,1,0,18.0,0
233.0,9.0,81.8,3.6,3.11,0,0,4.1,1,1,22.0,2
238.0,7.0,69.1,5.0,2.92,1,0,2.0,1,0,20.0,1
318.0,6.0,64.3,2.7,3.08,2,1,2.9,0,1,15.0,2
296.0,6.0,77.1,1.5,3.64,2,1,8.6,1,1,27.0,1
200.0,7.0,87.2,3.7,2.7,2,1,6.8,1,1,22.0,1
220.0,7.0,56.2,2.7,3.02,2,0,2.3,1,1,28.0,0
179.0,7.0,71.3,3.0,3.11,0,1,2.8,1,1,26.0,0
209.0,7.0,100.0,2.7,3.62,2,0,0.8,1,1,26.0,1
241.0,7.0,61.9,6.8,3.04,1,1,5.8,0,0,22.0,1
272.0,5.0,91.0,0.0,4.18,1,0,3.4,1,0,21.0,2
204.0,6.0,70.7,2.6,3.01,1,0,0.0,1,1,24.0,0
207.0,8.0,86.2,3.2,2.96,2,1,4.3,0,0,28.0,0
155.0,5.0,94.5,2.0,3.0,1,0,5.1,1,1,24.0,0
224.0,7.0,89.1,4.6,2.31,2,1,6.4,1,0,21.0,1
193.0,6.0,91.6,4.5,2.48,0,1,3.8,0,1,19.0,1
211.0,7.0,60.7,3.1,2.78,0,0,3.1,0,0,25.0,0
199.0,7.0,94.7,2.8,3.78,1,0,9.0,1,1,22.0,1
227.0,9.0,65.2,3.0,3.08,0,1,4.0,1,1,24.0,1
168.0,8.0,81.9,3.0,2.81,1,1,5.8,0,0,23.0,1
179.0,5.0,81.9,3.1,3.84,0,0,2.7,0,1,22.0,1
305.0,8.0,85.3,2.9,4.03,1,0,5.7,0,0,25.0,2
185.0,6.0,83.1,3.6,3.85,0,1,0.4,0,1,26.0,1
192.0,6.0,65.3,4.4,2.59,0,0,2.8,1,1,32.0,0
294.0,8.0,57.8,1.2,2.8,1,1,1.0,0,0,27.0,1
332.0,7.0,91.1,1.5,4.19,0,1,2.5,0,0,30.0,2
189.0,8.0,80.8,0.4,3.24,0,0,7.1,0,0,21.0,0
217.0,6.0,95.2,4.6,2.94,0,1,2.5,1,0,18.0,1
242.0,6.0,77.3,3.6,3.53,0,0,5.8,1,1,24.0,2
291.0,6.0,56.9,4.0,3.7,1,0,7.8,1,0,27.0,2
195.0,6.0,92.5,0.9,2.76,0,1,3.9,1,1,27.0,0
221.0,9.0,72.4,6.1,3.23,1,1,6.5,1,1,29.0,2
257.0,8.0,83.1,2.2,3.66,1,1,5.3,1,1,15.0,2
245.0,9.0,68.3,3.5,2.4,1,0,4.3,1,1,29.0,0
217.0,9.0,100.0,4.6,3.11,1,1,5.9,1,0,25.0,2
225.0,6.0,64.9,1.6,2.43,0,0,8.6,0,1,18.0,0
182.0,7.0,72.9,2.3,2.51,2,0,2.4,1,1,27.0,0
222.0,6.0,79.6,3.5,2.76,1,0,1.6,1,1,25.0,1
221.0,6.0,61.6,7.8,3.39,0,0,1.5,1,0,26.0,1
238.0,6.0,83.0,3.7,2.91,2,0,6.5,0,0,28.0,1
211.0,6.0,100.0,5.8,2.71,1,1,6.8,1,1,26.0,2
247.0,6.0,70.6,5.1,3.13,1,0,2.7,1,1,18.0,1
265.0,7.0,83.9,3.8,2.41,2,1,0.0,0,0,23.0,1
235.0,5.0,36.8,1.6,3.36,0,1,2.3,0,1,18.0,0
242.0,8.0,77.4,4.9,3.78,2,0,5.4,0,0,27.0,2
232.0,6.0,73.3,0.8,3.05,1,0,3.8,1,1,30.0,0
230.0,9.0,65.7,5.8,2.98,1,0,4.5,1,0,19.0,1
205.0,7.0,94.2,3.5,3.32,0,0,2.7,1,0,21.0,1
241.0,7.0,73.1,0.0,1.88,0,1,6.5,1,0,20.0,0
227.0,5.0,75.3,2.7,3.42,2,1,4.9,1,0,22.0,1
303.0,9.0,72.3,4.2,4.96,0,1,5.5,1,0,26.0,2
285.0,9.0,49.2,2.8,3.03,0,0,4.4,0,0,22.0,1
244.0,8.0,61.0,4.3,3.03,1,0,5.3,0,0,27.0,1
203.0,5.0,92.4,1.8,3.55,1,0,5.1,1,1,28.0,0
191.0,7.0,46.4,1.1,4.09,0,1,1.7,0,1,28.0,0
272.0,6.0,66.5,3.1,3.68,2,0,4.9,0,1,20.0,1
239.0,9.0,72.0,3.3,1.81,1,0,6.0,1,0,30.0,0
247.0,8.0,100.0,2.6,3.44,2,1,6.9,1,0,30.0,2
169.0,7.0,89.5,5.2,4.64,0,1,5.0,0,1,30.0,2
262.0,4.0,69.6,1.8,3.47,0,0,1.6,1,1,23.0,0
246.0,6.0,97.6,3.7,2.41,1,1,2.0,1,1,21.0,1
191.0,8.0,66.9,3.3,3.27,0,0,2.9,1,1,20.0,0
213.0,9.0,93.1,0.7,2.33,1,0,4.5,1,1,20.0,0
239.0,9.0,57.6,1.1,3.84,0,0,3.7,0,1,24.0,1
232.0,5.0,94.1,3.2,2.53,1,0,1.2,0,0,27.0,1
220.0,8.0,71.9,6.4,3.14,2,1,1.2,0,1,29.0,2
226.0,9.0,62.6,4.1,2.59,2,0,0.0,1,1,22.0,1
221.0,5.0,74.7,0.4,2.77,2,1,0.0,1,1,24.0,0
235.0,7.0,82.2,0.0,3.99,2,0,3.7,1,0,24.0,1
282.0,8.0,70.6,4.4,3.16,1,1,9.8,1,0,21.0,2
140.0,7.0,86.3,3.0,2.76,1,1,8.5,1,0,27.0,0
222.0,5.0,69.3,5.0,2.41,2,0,1.6,0,0,25.0,0
236.0,7.0,87.3,1.8,1.98,2,1,4.4,0,1,25.0,0
240.0,7.0,84.6,3.8,2.35,2,1,0.3,1,1,25.0,1
217.0,7.0,77.1,4.6,3.17,1,1,0.7,1,0,26.0,2
169.0,6.0,71.4,2.5,3.69,0,0,1.0,1,1,26.0,0
241.0,7.0,80.3,2.5,2.76,2,1,3.4,0,0,21.0,1
290.0,7.0,86.3,3.2,4.04,2,0,3.5,1,1,28.0,2
176.0,8.0,100.0,4.1,2.67,1,1,4.6,0,0,25.0,1
260.0,7.0,92.1,3.2,2.96,2,1,5.7,1,1,22.0,1
219.0,7.0,92.6,4.8,2.45,1,0,3.2,0,1,25.0,1
228.0,7.0,100.0,2.5,3.69,2,1,4.1,1,1,25.0,2
193.0,5.0,85.7,1.1,4.36,0,1,1.3,0,1,28.0,1
218.0,8.0,85.3,6.4,2.04,2,1,0.6,0,0,20.0,1
276.0,7.0,88.6,2.2,2.89,0,0,0.3,1,1,29.0,1
250.0,7.0,62.9,2.3,3.86,0,0,5.6,1,0,24.0,2
291.0,9.0,71.3,3.1,2.23,0,0,3.2,1,0,22.0,1
271.0,4.0,70.4,3.3,3.44,1,0,0.0,1,1,22.0,1
245.0,4.0,87.7,2.6,3.83,0,1,3.8,1,1,20.0,1
291.0,8.0,75.4,3.2,3.15,2,0,0.9,0,1,17.0,2
245.0,7.0,80.1,3.1,3.43,1,1,8.2,1,0,27.0,1
259.0,7.0,94.3,3.5,4.16,2,1,2.6,1,1,32.0,2
220.0,7.0,90.9,0.0,4.27,0,1,5.7,1,0,18.0,1
232.0,8.0,75.6,6.2,3.06,0,0,6.7,1,1,20.0,1
206.0,9.0,68.0,3.0,2.78,1,1,1.6,1,1,27.0,0
265.0,8.0,95.0,4.1,2.55,1,1,4.2,0,1,24.0,0
189.0,7.0,89.6,1.0,3.69,1,1,5.4,1,1,27.0,1
257.0,4.0,53.9,2.4,2.28,2,0,4.3,1,1,24.0,0
223.0,8.0,73.3,2.1,2.95,2,1,4.9,1,0,22.0,1
271.0,9.0,80.5,5.6,3.16,1,0,0.7,1,1,23.0,2
256.0,8.0,89.7,2.3,2.8,2,1,5.4,0,1,15.0,2
294.0,6.0,91.7,4.4,3.27,1,0,2.8,0,0,19.0,2
256.0,8.0,82.3,2.2,4.64,1,0,4.9,1,0,28.0,2
175.0,8.0,86.8,2.5,3.03,1,1,6.3,1,0,29.0,1
228.0,9.0,79.0,2.8,2.84,0,0,5.7,1,1,30.0,1
189.0,6.0,67.9,5.3,3.71,0,1,4.9,1,1,26.0,1
212.0,7.0,74.1,0.2,3.24,1,1,5.6,1,1,15.0,1
283.0,8.0,78.3,1.1,3.96,1,0,5.7,1,0,21.0,2
252.0,7.0,77.5,0.1,3.2,0,0,7.7,1,0,29.0,0
206.0,6.0,49.7,1.5,2.95,1,0,3.9,0,1,30.0,0
195.0,8.0,72.0,1.9,2.03,0,1,4.4,1,0,29.0,0
231.0,8.0,78.8,0.6,2.13,0,1,6.3,1,0,23.0,0
187.0,7.0,73.8,2.0,2.0,2,0,2.8,0,0,19.0,0
207.0,8.0,74.3,0.0,3.33,1,0,0.7,0,0,24.0,1
241.0,7.0,85.3,1.6,2.28,0,0,5.2,1,0,24.0,0
270.0,9.0,61.8,5.1,3.85,1,1,3.5,1,1,30.0,2
251.0,6.0,53.6,3.8,3.12,1,0,1.0,1,0,25.0,0
150.0,6.0,72.8,3.5,2.95,1,0,5.3,1,0,24.0,1
241.0,7.0,89.5,1.6,2.59,2,1,7.6,0,1,24.0,0
233.0,8.0,100.0,0.7,3.47,1,0,0.0,1,1,26.0,1
244.0,5.0,89.7,1.4,2.62,1,0,6.6,1,1,27.0,0
287.0,5.0,56.0,3.1,2.51,1,1,0.0,1,1,21.0,1
158.0,4.0,74.5,4.6,3.81,1,1,3.0,1,1,20.0,0
209.0,7.0,81.8,4.6,3.31,0,0,8.6,1,1,29.0,2
251.0,6.0,80.7,4.2,2.96,0,1,3.2,1,1,17.0,1
175.0,7.0,86.1,2.0,3.48,2,0,4.2,1,0,31.0,1
282.0,8.0,64.2,3.2,3.11,1,1,5.9,0,1,16.0,1
243.0,6.0,79.0,2.7,3.33,1,0,0.0,1,0,22.0,1
260.0,8.0,84.3,2.9,2.61,0,1,4.2,1,0,28.0,1
210.0,7.0,90.4,6.5,4.34,2,0,4.2,1,0,24.0,2
258.0,8.0,65.9,0.4,2.75,0,1,8.7,1,0,19.0,1
267.0,8.0,72.8,2.8,4.03,1,1,0.9,0,0,26.0,2
238.0,6.0,37.4,5.1,2.99,2,0,3.0,1,1,24.0,0
238.0,7.0,68.7,0.9,3.58,1,0,1.7,0,0,23.0,1
239.0,9.0,70.1,2.2,3.54,2,1,1.4,0,0,22.0,1
200.0,8.0,62.7,2.4,3.79,0,0,6.8,1,0,24.0,1
225.0,5.0,80.5,2.8,2.6,1,1,4.1,1,0,22.0,1
225.0,8.0,77.2,0.6,3.75,2,1,2.6,1,1,34.0,0
243.0,6.0,44.1,4.2,4.21,1,0,2.7,1,0,23.0,1
265.0,9.0,81.2,4.3,2.94,1,0,2.6,0,0,23.0,2
193.0,9.0,64.1,4.0,3.12,1,1,2.8,1,0,22.0,1
